,название_олимпиады,профиль_олимпиады,предмет,уровень_олимпиады,направления_подготовки,chunk_text
180,Открытая олимпиада школьников математика,математика,математика,3.0,"['42.03.01', '45.03.02']","Открытая олимпиада школьников математика математика математика 3.0 ['42.03.01', '45.03.02']"
181,Открытая олимпиада школьников физика,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Открытая олимпиада школьников физика физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
182,Открытая олимпиада школьников по программированию,информатика,информатика,1.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']","Открытая олимпиада школьников по программированию информатика информатика 1.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']"
183,Открытая олимпиада школьников по программированию «Когнитивные технологии»,информатика,информатика,2.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']","Открытая олимпиада школьников по программированию «Когнитивные технологии» информатика информатика 2.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']"
184,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
185,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),история,история,3.0,['45.03.02'],Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО) история история 3.0 ['45.03.02']
186,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),география,география,3.0,['05.03.06'],Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО) география география 3.0 ['05.03.06']
187,Отраслевая олимпиада школьников «Газпром» инженерное дело,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Отраслевая олимпиада школьников «Газпром» инженерное дело физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
188,Отраслевая олимпиада школьников «Газпром» информационные и коммуникационные технологии,информатика,информатика,2.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']","Отраслевая олимпиада школьников «Газпром» информационные и коммуникационные технологии информатика информатика 2.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']"
189,Отраслевая олимпиада школьников «Газпром» математика,математика,математика,3.0,"['42.03.01', '45.03.02']","Отраслевая олимпиада школьников «Газпром» математика математика математика 3.0 ['42.03.01', '45.03.02']"
190,Отраслевая олимпиада школьников «Газпром» физика,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Отраслевая олимпиада школьников «Газпром» физика физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
191,Отраслевая физико-математическая олимпиада школьников «Росатом» информатика,информатика,информатика,2.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']","Отраслевая физико-математическая олимпиада школьников «Росатом» информатика информатика информатика 2.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']"
192,Отраслевая физико-математическая олимпиада школьников «Росатом» математика,математика,математика,2.0,"['42.03.01', '45.03.02']","Отраслевая физико-математическая олимпиада школьников «Росатом» математика математика математика 2.0 ['42.03.01', '45.03.02']"
193,Отраслевая физико-математическая олимпиада школьников «Росатом» физика,физика,физика,1.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Отраслевая физико-математическая олимпиада школьников «Росатом» физика физика физика 1.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
194,Пироговская олимпиада школьников по химии и биологии,биология,биология,2.0,['05.03.06'],Пироговская олимпиада школьников по химии и биологии биология биология 2.0 ['05.03.06']
195,Плехановская олимпиада школьников иностранный язык,иностранный язык,иностранный язык,3.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']","Плехановская олимпиада школьников иностранный язык иностранный язык иностранный язык 3.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']"
196,Плехановская олимпиада школьников финансовая грамотность,обществознание,обществознание,3.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Плехановская олимпиада школьников финансовая грамотность обществознание обществознание 3.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
197,Плехановская олимпиада школьников экономика,обществознание,обществознание,3.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Плехановская олимпиада школьников экономика обществознание обществознание 3.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
198,Региональный конкурс школьников Челябинского университетского образовательного округа,иностранный язык,иностранный язык,3.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']","Региональный конкурс школьников Челябинского университетского образовательного округа иностранный язык иностранный язык 3.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']"
199,Региональный конкурс школьников Челябинского университетского образовательного округа,обществознание,обществознание,3.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Региональный конкурс школьников Челябинского университетского образовательного округа обществознание обществознание 3.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
200,Санкт-Петербургская астрономическая олимпиада,физика,астрономия,1.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Санкт-Петербургская астрономическая олимпиада физика астрономия 1.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
201,Санкт-Петербургская олимпиада школьников математика,математика,математика,1.0,"['42.03.01', '45.03.02']","Санкт-Петербургская олимпиада школьников математика математика математика 1.0 ['42.03.01', '45.03.02']"
202,Твой путь в настоящую науку,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Твой путь в настоящую науку физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
203,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,гуманитарные и социальные науки,обществознание,1.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Телевизионная гуманитарная олимпиада школьников «Умницы и умники» гуманитарные и социальные науки обществознание 1.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
204,Турнир городов,математика,математика,1.0,"['42.03.01', '45.03.02']","Турнир городов математика математика 1.0 ['42.03.01', '45.03.02']"
205,Турнир имени М.В. Ломоносова,астрономия и науки о земле,физика,3.0,"['05.03.06', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Турнир имени М.В. Ломоносова астрономия и науки о земле физика 3.0 ['05.03.06', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
206,Турнир имени М.В. Ломоносова,лингвистика,иностранный язык,2.0,"['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']","Турнир имени М.В. Ломоносова лингвистика иностранный язык 2.0 ['38.03.01', '38.03.02', '38.03.03', '38.03.04', '42.03.01', '45.03.02']"
207,Турнир имени М.В. Ломоносова,математика,математика,2.0,"['42.03.01', '45.03.02']","Турнир имени М.В. Ломоносова математика математика 2.0 ['42.03.01', '45.03.02']"
208,Турнир имени М.В. Ломоносова,физика,физика,2.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Турнир имени М.В. Ломоносова физика физика 2.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
209,Турнир имени М.В. Ломоносова,биология,биология,3.0,['05.03.06'],Турнир имени М.В. Ломоносова биология биология 3.0 ['05.03.06']
210,Турнир имени М.В. Ломоносова,история,история,2.0,['45.03.02'],Турнир имени М.В. Ломоносова история история 2.0 ['45.03.02']
211,Университетская олимпиада школьников «Бельчонок»,информатика,информатика,2.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']","Университетская олимпиада школьников «Бельчонок» информатика информатика 2.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '45.03.02']"
212,Университетская олимпиада школьников «Бельчонок»,математика,математика,3.0,"['42.03.01', '45.03.02']","Университетская олимпиада школьников «Бельчонок» математика математика 3.0 ['42.03.01', '45.03.02']"
213,Учитель школы будущего,физика,физика,3.0,"['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']","Учитель школы будущего физика физика 3.0 ['05.03.06', '38.03.01', '38.03.02', '38.03.03', '38.03.04', '38.03.05', '42.03.01', '45.03.02']"
